#Kênh2,rtp://225.1.2.202:30120
3NTV  VTC16,rtp://225.1.2.190:30120
An Giang 1,rtp://225.1.2.173:30120
An Ninh Thế Giới,rtp://225.1.1.208:30120
An Ninh Thế Giới HD,rtp://225.1.1.208:30120
An Ninh TV,rtp://225.1.2.169:30120
An Ninh TV HD,rtp://225.1.2.169:30120
Arirang,rtp://225.1.1.201:30120
Asian Food Channel,rtp://225.1.1.198:30120
Asian Food Channel HD,rtp://225.1.1.198:30120
Australia Plus,rtp://225.1.2.21:30120
AXN,rtp://225.1.2.225:30120
AXN,rtp://225.1.1.237:30120
AXN,rtp://225.1.2.224:30120
AXN HD,rtp://225.1.2.225:30120
AXN HD,rtp://225.1.2.224:30120
AZSHOP  DN9,rtp://225.1.1.134:30120
Babytv,rtp://225.1.2.146:30120
Babytv,rtp://225.1.2.147:30120
BBC Earth,rtp://225.1.2.25:30120
BBC Earth,rtp://225.1.2.24:30120
BBC Earth HD,rtp://225.1.2.25:30120
BBC World News,rtp://225.1.2.74:30120
BPTV2  HOMETV,rtp://225.1.2.38:30120
Bà Rịa Vũng Tàu,rtp://225.1.2.175:30120
Bình Dương 2,rtp://225.1.1.149:30120
Bình Dương 2 HD,rtp://225.1.1.149:30120
Bình Phước 1,rtp://225.1.2.23:30120
Bình Thuận,rtp://225.1.1.124:30120
Bình Định,rtp://225.1.1.145:30120
Bạc Liêu,rtp://225.1.1.61:30120
Bắc Giang,rtp://225.1.1.164:30120
Bắc Ninh,rtp://225.1.1.40:30120
Bến Tre,rtp://225.1.1.156:30120
Ca Nhạc,rtp://225.1.1.9:30120
Ca Nhạc 2,rtp://225.1.1.8:30120
Cao Bằng,rtp://225.1.1.102:30120
Cartoon Network,rtp://225.1.2.230:30120
Cartoon Network,rtp://225.1.1.240:30120
Cartoon Network HD,rtp://225.1.2.230:30120
Channel News Asia,rtp://225.1.1.202:30120
Channel [V],rtp://225.1.1.243:30120
Channel [V],rtp://225.1.1.187:30120
Channel [V],rtp://225.1.1.188:30120
Channel [V] HD,rtp://225.1.1.187:30120
Channel [V] HD,rtp://225.1.1.188:30120
CNBC,rtp://225.1.1.227:30120
CNN,rtp://225.1.1.242:30120
Cà Mau,rtp://225.1.1.104:30120
Cần Thơ,rtp://225.1.1.132:30120
Da Vinci Learning,rtp://225.1.2.253:30120
Da Vinci Learning HD,rtp://225.1.2.253:30120
Discovery Asia,rtp://225.1.2.223:30120
Discovery Asia,rtp://225.1.2.222:30120
Discovery Asia HD,rtp://225.1.2.222:30120
Discovery Asia HD,rtp://225.1.2.223:30120
Discovery Channel,rtp://225.1.1.238:30120
Disney Channel,rtp://225.1.2.158:30120
Disney Channel,rtp://225.1.1.232:30120
Disney Channel,rtp://225.1.2.160:30120
Disney Channel HD,rtp://225.1.2.160:30120
Disney Channel HD,rtp://225.1.2.158:30120
Fashion TV,rtp://225.1.2.226:30120
