RTP 提取分类记录汇总
==================================================
IP: 114.240.41.217 | 详细信息: 北京市门头沟区组播 北京联通 | 归类文件: 北京联通.txt
IP: 182.119.81.42 | 详细信息: 河南省郑州市组播 河南联通 | 归类文件: 河南联通.txt
IP: 183.48.32.238 | 详细信息: 广东省广州市组播 广东电信 | 归类文件: 广东电信.txt
IP: 125.108.106.203 | 详细信息: 浙江省温州市瓯海区组播 浙江电信 | 归类文件: 浙江电信.txt
IP: 58.32.24.15 | 详细信息: 上海市浦东新区组播 上海电信 | 归类文件: 上海电信.txt
IP: 118.120.221.232 | 详细信息: 四川省德阳市组播 四川电信 | 归类文件: 四川电信.txt
IP: 180.126.137.192 | 详细信息: 江苏省盐城市组播 江苏电信 | 归类文件: 江苏电信.txt
IP: 175.148.104.19 | 详细信息: 辽宁省葫芦岛市组播 辽宁联通 | 归类文件: 辽宁联通.txt
IP: 116.235.252.164 | 详细信息: 上海市黄浦区组播 上海电信 | 归类文件: 上海电信.txt
IP: 219.156.209.159 | 详细信息: 河南省平顶山市组播 河南联通 | 归类文件: 河南联通.txt
IP: 175.9.187.187 | 详细信息: 湖南省长沙市芙蓉区组播 湖南电信 | 归类文件: 湖南电信.txt
IP: 60.176.32.54 | 详细信息: 浙江省杭州市组播 浙江电信 | 归类文件: 浙江电信.txt
IP: 223.72.11.153 | 详细信息: 北京市房山区组播 北京移动 | 归类文件: 北京移动.txt
IP: 180.127.73.159 | 详细信息: 江苏省连云港市海州区组播 江苏电信 | 归类文件: 江苏电信.txt
IP: 125.108.127.169 | 详细信息: 浙江省温州市瓯海区组播 浙江电信 | 归类文件: 浙江电信.txt
IP: 115.63.207.229 | 详细信息: 河南省焦作市组播 河南联通 | 归类文件: 河南联通.txt
IP: 61.141.124.82 | 详细信息: 广东省深圳市组播 广东电信 | 归类文件: 广东电信.txt
IP: 180.127.224.80 | 详细信息: 江苏省连云港市灌云县组播 江苏电信 | 归类文件: 江苏电信.txt
IP: 118.120.190.144 | 详细信息: 四川省德阳市组播 四川电信 | 归类文件: 四川电信.txt
IP: 125.38.165.22 | 详细信息: 天津市滨海新区组播 天津联通 | 归类文件: 天津联通.txt
IP: 未知IP | 详细信息: 北京联通 | 归类文件: 北京联通.txt
IP: 未知IP | 详细信息: 河南联通 | 归类文件: 河南联通.txt
IP: 未知IP | 详细信息: 广东电信 | 归类文件: 广东电信.txt
IP: 未知IP | 详细信息: 浙江电信 | 归类文件: 浙江电信.txt
IP: 未知IP | 详细信息: 上海电信 | 归类文件: 上海电信.txt
IP: 未知IP | 详细信息: 四川电信 | 归类文件: 四川电信.txt
IP: 未知IP | 详细信息: 江苏电信 | 归类文件: 江苏电信.txt
IP: 未知IP | 详细信息: 湖南电信 | 归类文件: 湖南电信.txt
IP: 未知IP | 详细信息: 北京移动 | 归类文件: 北京移动.txt
IP: 未知IP | 详细信息: 天津联通 | 归类文件: 天津联通.txt
IP: 未知IP | 详细信息: 山东联通 | 归类文件: 山东联通.txt
IP: 未知IP | 详细信息: 江西电信 | 归类文件: 江西电信.txt
IP: 未知IP | 详细信息: 重庆电信 | 归类文件: 重庆电信.txt
IP: 27.201.168.243 | 详细信息: 山东省泰安市新泰市组播 山东联通 | 归类文件: 山东联通.txt
IP: 112.254.7.99 | 详细信息: 山东省青岛市市北区组播 山东联通 | 归类文件: 山东联通.txt
IP: 175.9.162.153 | 详细信息: 湖南省长沙市组播 湖南电信 | 归类文件: 湖南电信.txt
IP: 115.150.69.26 | 详细信息: 江西省赣州市组播 江西电信 | 归类文件: 江西电信.txt
IP: 115.194.96.71 | 详细信息: 浙江省杭州市上城区组播 浙江电信 | 归类文件: 浙江电信.txt
IP: 175.9.191.166 | 详细信息: 湖南省长沙市芙蓉区组播 湖南电信 | 归类文件: 湖南电信.txt
IP: 125.85.58.116 | 详细信息: 重庆市九龙坡区组播 重庆电信 | 归类文件: 重庆电信.txt
