CCTV1HD,rtp://226.0.2.153:9136
CCTV2HD,rtp://226.0.2.154:9144
CCTV3HD,rtp://226.0.2.208:9576
CCTV4HD,rtp://226.0.2.156:9160
CCTV5HD,rtp://226.0.2.209:9584
CCTV5+HD,rtp://226.0.2.168:9256
CCTV6HD,rtp://226.0.2.210:9592
CCTV7HD,rtp://226.0.2.159:9184
CCTV8HD,rtp://226.0.2.211:9600
CCTV9HD,rtp://226.0.2.161:9200
CCTV10HD,rtp://226.0.2.162:9208
CCTV12HD,rtp://226.0.2.164:9224
CCTV13HD,rtp://226.0.2.165:9232
CCTV14HD,rtp://226.0.2.166:9240
CCTV16HD,rtp://226.0.2.169:9264
CCTV17HD,rtp://226.0.2.170:9272
CETV1HD,rtp://226.0.2.181:9360
CETV早期教育HD,rtp://226.0.2.99:8704
CHC动作电影HD,rtp://226.0.2.94:8012
CHC家庭影院HD,rtp://226.0.2.240:9820
CHC影迷电影HD,rtp://226.0.2.93:8004
世界地理HD,rtp://226.0.2.222:9688
东南卫视HD,rtp://226.0.2.188:9416
东方卫视4K,rtp://226.0.1.248:2121
东方卫视HD,rtp://226.0.2.175:9312
东方财经HD,rtp://226.0.2.76:8520
中国天气HD,rtp://226.0.2.103:8736
乐游HD,rtp://226.0.2.77:8528
九屏测试HD,rtp://226.0.2.197:9488
兵器科技HD,rtp://226.0.2.223:9696
兵团卫视HD,rtp://226.0.2.62:8408
动漫秀场HD,rtp://226.0.2.183:9376
北京卫视4K,rtp://226.0.2.155:9172
北京卫视HD,rtp://226.0.2.177:9328
北京纪实科教HD,rtp://226.0.2.141:9040
卡酷少儿HD,rtp://226.0.2.57:8368
吉林卫视HD,rtp://226.0.2.58:8376
哈哈炫动HD,rtp://226.0.2.44:8264
四川卫视4K,rtp://226.0.1.250:2126
四川卫视HD,rtp://226.0.2.179:9344
四海钓鱼HD,rtp://226.0.2.123:8896
大同教育HD,rtp://226.0.2.232:9772
天津卫视HD,rtp://226.0.2.148:9096
央视台球HD,rtp://226.0.2.216:9640
央视文化精品HD,rtp://226.0.2.219:9664
女性时尚HD,rtp://226.0.2.226:9720
宁夏卫视HD,rtp://226.0.2.64:8424
安徽卫视HD,rtp://226.0.2.145:9072
山东卫视4K,rtp://226.0.1.251:2124
山东卫视HD,rtp://226.0.2.149:9104
山东教育卫视HD,rtp://226.0.2.130:8952
山西卫视HD,rtp://226.0.2.152:9128
山西文体生活HD,rtp://226.0.2.16:8040
山西文体生活HD,rtp://226.0.2.237:9808
山西社会与法治HD,rtp://226.0.2.238:9816
山西经济与科技HD,rtp://226.0.2.236:9800
山西黄河HD,rtp://226.0.2.235:9792
广东卫视4K,rtp://226.0.1.245:2120
广东卫视HD,rtp://226.0.2.146:9080
广西卫视HD,rtp://226.0.2.231:9760
快乐垂钓HD,rtp://226.0.2.214:9624
怀旧剧场HD,rtp://226.0.2.224:9704
文物宝库HD,rtp://226.0.2.110:8792
新疆卫视HD,rtp://226.0.2.67:8448
旅游卫视HD,rtp://226.0.2.212:9608
梨园频道HD,rtp://226.0.2.115:8832
武术世界HD,rtp://226.0.2.97:8688
江苏卫视4K,rtp://226.0.1.249:2122
江苏卫视HD,rtp://226.0.2.176:9320
江西卫视HD,rtp://226.0.2.54:8344
河北卫视HD,rtp://226.0.2.178:9336
河南卫视HD,rtp://226.0.2.52:8328
法治天地HD,rtp://226.0.2.83:8576
浙江卫视4K,rtp://226.0.1.247:2123
浙江卫视HD,rtp://226.0.2.144:9064
深圳卫视4K,rtp://226.0.1.244:2119
深圳卫视HD,rtp://226.0.2.147:9088
清徐HD,rtp://226.0.2.191:9440
游戏风云HD,rtp://226.0.2.78:8536
湖北卫视HD,rtp://226.0.2.150:9112
湖南卫视4K,rtp://226.0.1.246:2125
湖南卫视HD,rtp://226.0.2.143:9056
甘肃卫视HD,rtp://226.0.2.55:8352
生活时尚HD,rtp://226.0.2.84:8584
电视指南HD,rtp://226.0.2.218:9656
第一剧场HD,rtp://226.0.2.221:9680
茶频道HD,rtp://226.0.2.213:9616
西藏卫视HD,rtp://226.0.2.66:8440
贵州卫视HD,rtp://226.0.2.180:9352
辽宁卫视HD,rtp://226.0.2.173:9296
都市剧场HD,rtp://226.0.2.81:8560
重庆卫视HD,rtp://226.0.2.174:9304
金色学堂HD,rtp://226.0.2.182:9368
金鹰卡通HD,rtp://226.0.2.172:9288
金鹰纪实HD,rtp://226.0.2.194:9464
风云剧场HD,rtp://226.0.2.227:9728
风云足球HD,rtp://226.0.2.225:9712
风云音乐HD,rtp://226.0.2.220:9672
高尔夫网球HD,rtp://226.0.2.217:9648
黑龙江卫视HD,rtp://226.0.2.151:9120
CCTV1SD,rtp://226.0.2.18:8056
CCTV2SD,rtp://226.0.2.19:8064
CCTV3SD,rtp://226.0.2.20:8072
CCTV4SD,rtp://226.0.2.21:8080
CCTV5SD,rtp://226.0.2.22:8088
CCTV6SD,rtp://226.0.2.23:8096
CCTV7SD,rtp://226.0.2.24:8104
CCTV8SD,rtp://226.0.2.25:8112
CCTV9SD,rtp://226.0.2.26:8120
CCTV10SD,rtp://226.0.2.27:8128
CCTV11SD,rtp://226.0.2.28:8136
CCTV12SD,rtp://226.0.2.29:8144
CCTV13SD,rtp://226.0.2.30:8152
CCTV14SD,rtp://226.0.2.31:8160
CCTV15SD,rtp://226.0.2.32:8168
CCTV17SD,rtp://226.0.2.207:9568
CETV2SD,rtp://226.0.2.69:8464
CETV4SD,rtp://226.0.2.70:8472
CEV1SD,rtp://226.0.2.68:8456
东南卫视SD,rtp://226.0.2.40:8232
东方卫视SD,rtp://226.0.2.34:8184
中华特产SD,rtp://226.0.2.128:8936
中视购物SD,rtp://226.0.2.72:8488
书法频道SD,rtp://226.0.2.102:8728
云南卫视SD,rtp://226.0.2.60:8392
优优宝贝SD,rtp://226.0.2.119:8864
优购物SD,rtp://226.0.2.131:8960
先锋乒羽SD,rtp://226.0.2.121:8880
内蒙古卫视SD,rtp://226.0.2.63:8416
北京卫视SD,rtp://226.0.2.39:8224
古交电视台SD,rtp://226.0.2.192:9448
吉林卫视SD,rtp://226.0.2.199:9504
四川卫视SD,rtp://226.0.2.42:8248
国学频道SD,rtp://226.0.2.116:8840
天津卫视SD,rtp://226.0.2.56:8360
太原1SD,rtp://226.0.2.201:9520
太原2SD,rtp://226.0.2.202:9528
太原3SD,rtp://226.0.2.203:9536
太原4SD,rtp://226.0.2.204:9544
太原5SD,rtp://226.0.2.205:9552
太原佰乐购SD,rtp://226.0.2.215:9632
太原教育SD,rtp://226.0.2.206:9560
央广购物SD,rtp://226.0.2.230:9752
安徽卫视SD,rtp://226.0.2.37:8208
山东卫视SD,rtp://226.0.2.51:8320
山西卫视SD,rtp://226.0.2.11:8000
山西卫视SD,rtp://226.0.2.189:9424
山西影视SD,rtp://226.0.2.14:8024
山西文体生活SD,rtp://226.0.2.190:9432
山西社会与法治SD,rtp://226.0.2.15:8032
山西黄河SD,rtp://226.0.2.12:8008
广东卫视SD,rtp://226.0.2.45:8272
广西卫视SD,rtp://226.0.2.46:8280
收藏天下SD,rtp://226.0.2.132:8968
新动漫SD,rtp://226.0.2.73:8496
旅游卫视SD,rtp://226.0.2.61:8400
晋能控股SD,rtp://226.0.2.229:9744
朔州1SD,rtp://226.0.2.185:9392
朔州2SD,rtp://226.0.2.186:9400
江苏卫视SD,rtp://226.0.2.38:8216
江西卫视SD,rtp://226.0.2.198:9496
河北卫视SD,rtp://226.0.2.65:8432
河南卫视SD,rtp://226.0.2.195:9472
浙江卫视SD,rtp://226.0.2.36:8200
深圳卫视SD,rtp://226.0.2.47:8288
湖北卫视SD,rtp://226.0.2.49:8304
湖南卫视SD,rtp://226.0.2.33:8176
环球奇观SD,rtp://226.0.2.111:8800
环球旅游SD,rtp://226.0.2.127:8928
生态环境SD,rtp://226.0.2.120:8872
经济与科技SD,rtp://226.0.2.13:8016
老故事SD,rtp://226.0.2.112:8808
聚鲨环球精选SD,rtp://226.0.2.122:8888
贵州卫视SD,rtp://226.0.2.43:8256
辽宁卫视SD,rtp://226.0.2.35:8192
重庆卫视SD,rtp://226.0.2.50:8312
重庆汽摩SD,rtp://226.0.2.95:8672
金鹰卡通SD,rtp://226.0.2.41:8240
阳曲SD,rtp://226.0.2.196:9480
阳泉科教SD,rtp://226.0.2.234:9784
阳泉综合SD,rtp://226.0.2.233:9776
陕西卫视SD,rtp://226.0.2.53:8336
青海卫视SD,rtp://226.0.2.59:8384
黑龙江卫视SD,rtp://226.0.2.48:8296
