4K频道,rtp://239.253.92.114:6187
BRTV纪实科教,rtp://239.253.93.190:6358
CCTV4K,rtp://239.253.93.134:6631
CCTV1综合,rtp://239.253.92.83:8012
CCTV2财经,rtp://239.253.92.190:6065
CCTV3综艺,rtp://239.253.92.191:6057
CCTV4中文国际欧洲,rtp://239.253.93.192:6370
CCTV4中文国际美洲,rtp://239.253.93.193:6371
CCTV4亚洲,rtp://239.253.92.251:6141
CCTV5+体育赛事,rtp://239.253.92.82:8013
CCTV5体育,rtp://239.253.92.181:6046
CCTV6电影,rtp://239.253.92.193:6058
CCTV7国防军事,rtp://239.253.92.194:6059
CCTV8电视剧,rtp://239.253.92.195:6060
CCTV9纪录,rtp://239.253.92.107:6020
CCTV10科教,rtp://239.253.92.196:6061
CCTV11戏曲,rtp://239.253.93.153:6321
CCTV12社会与法,rtp://239.253.92.197:6062
CCTV13新闻,rtp://239.253.92.13:8008
CCTV14少儿,rtp://239.253.92.198:6063
CCTV15音乐,rtp://239.253.93.154:6322
CCTV17农业农村,rtp://239.253.93.150:6318
CETV2,rtp://239.253.92.108:6136
CETV4,rtp://239.253.92.200:6137
CGTN 俄语,rtp://239.253.93.199:6377
CGTN 法语,rtp://239.253.93.197:6375
CGTN 英文记录,rtp://239.253.93.195:6373
CGTN 西班牙语,rtp://239.253.93.196:6374
CGTN 阿拉伯语,rtp://239.253.93.198:6376
CGTN国际,rtp://239.253.92.15:8011
kaku 少儿,rtp://239.253.92.162:8054
三河电视,rtp://239.253.93.143:6311
世界地理,rtp://239.253.92.113:8066
世界地理,rtp://239.253.92.131:6113
东光电视,rtp://239.253.93.96:6262
东南卫视,rtp://239.253.92.201:6146
东方卫视,rtp://239.253.92.89:8019
东方财经,rtp://239.253.93.239:6417
中华特产,rtp://239.253.93.242:6420
中华美食,rtp://239.253.93.248:6426
中国交通频道,rtp://239.253.93.189:6357
中国教育1,rtp://239.253.92.211:6069
中学生,rtp://239.253.92.27:6106
丰南电视,rtp://239.253.92.231:6070
丰宁综合,rtp://239.253.93.210:6388
丰润电视,rtp://239.253.92.252:6156
临城电视,rtp://239.253.93.167:6335
临时直播,rtp://239.253.92.116:6029
临时直播频道2,rtp://239.253.92.21:6226
临时直播频道3,rtp://239.253.92.216:6227
临时直播频道4,rtp://239.253.92.219:6228
临时直播频道5,rtp://239.253.92.220:6229
临漳电视,rtp://239.253.93.84:6250
临西电视,rtp://239.253.94.29:6628
主视角,rtp://239.253.93.124:6292
主视角4K,rtp://239.253.93.123:6291
乐亭电视,rtp://239.253.93.250:6290
乐游,rtp://239.253.93.224:6402
九屏直播频道,rtp://239.253.92.203:6150
书画,rtp://239.253.93.214:6392
井陉电视,rtp://239.253.93.205:6383
井陉矿区电视,rtp://239.253.92.215:6067
任县电视,rtp://239.253.93.145:6313
优优宝贝,rtp://239.253.93.244:6422
优漫卡通,rtp://239.253.93.204:6382
保定公共频道,rtp://239.253.93.4:6157
保定新闻综合,rtp://239.253.93.2:6153
保定生活健康,rtp://239.253.93.5:6158
元氏电视,rtp://239.253.92.142:6040
先锋乒羽,rtp://239.253.93.219:6397
党教,rtp://239.253.92.125:6024
