CCTV4K,rtp://239.69.1.111:10304
CCTV1,rtp://239.254.96.96:8550
CCTV1,rtp://239.254.96.3:7992
CCTV1HD,rtp://239.254.96.96:8550
CCTV1SD,rtp://239.254.96.3:7992
CCTV10,rtp://239.69.1.105:10268
CCTV10,rtp://239.254.96.158:9022
CCTV10HD,rtp://239.69.1.105:10268
CCTV10SD,rtp://239.254.96.158:9022
CCTV11,rtp://239.254.96.9:8028
CCTV11,rtp://239.69.1.154:10560
CCTV11,rtp://239.254.96.159:9028
CCTV11HD,rtp://239.69.1.154:10560
CCTV11SD,rtp://239.254.96.159:9028
CCTV11SD,rtp://239.254.96.9:8028
CCTV12,rtp://239.69.1.106:10274
CCTV12,rtp://239.254.96.160:9034
CCTV12HD,rtp://239.69.1.106:10274
CCTV12SD,rtp://239.254.96.160:9034
CCTV13,rtp://239.254.96.161:9040
CCTV13,rtp://239.254.96.11:8040
CCTV13HD,rtp://239.254.96.161:9040
CCTV13SD,rtp://239.254.96.11:8040
CCTV14,rtp://239.254.96.162:9046
CCTV14,rtp://239.69.1.107:10280
CCTV14HD,rtp://239.69.1.107:10280
CCTV14SD,rtp://239.254.96.162:9046
CCTV15,rtp://239.254.96.13:8052
CCTV15,rtp://239.69.1.155:10566
CCTV15HD,rtp://239.69.1.155:10566
CCTV15SD,rtp://239.254.96.13:8052
CCTV16,rtp://239.69.1.247:11124
CCTV16 4K,rtp://239.69.1.12:9712
CCTV16 4K,rtp://239.69.1.249:11136
CCTV16HD,rtp://239.69.1.247:11124
CCTV17,rtp://239.69.1.152:10548
CCTV17,rtp://239.69.1.153:10554
CCTV17HD,rtp://239.69.1.152:10548
CCTV17SD,rtp://239.69.1.153:10554
CCTV2,rtp://239.69.1.102:10250
CCTV2,rtp://239.254.96.154:8998
CCTV2HD,rtp://239.69.1.102:10250
CCTV2SD,rtp://239.254.96.154:8998
CCTV3,rtp://239.69.1.122:10370
CCTV3HD,rtp://239.69.1.122:10370
CCTV4,rtp://239.69.1.138:10466
CCTV4,rtp://239.254.96.155:9004
CCTV4HD,rtp://239.69.1.138:10466
CCTV4SD,rtp://239.254.96.155:9004
